course_number,course_contact,course_credits,course_description,course_hours,course_name,course_url,course_area
AHSE4190,"Adler, Jonathan",4 AHSE,"The AHS Capstone is an advanced, self-designed AHS project that builds upon a student's prior experience in one or more AHS disciplines. Students concentrating in the Arts, Humanities and Social Sciences must complete either a 12 credit concentration or an 8 credit concentration with an AHS Capstone in order to graduate. AHS Capstones must be proposed to the AHS Committee and approved by the end of the academic year prior to the Capstone except in extenuating circumstances. Additional information on the AHS Capstone is available at http://ahs.olin.edu/. AHS Capstone students will complete a proposal, a journal, a disciplinary deliverable, an analysis of their deliverable, and a presentation. Class sessions will vary between meetings of the entire class, small group workshops, and individual meetings. Olin strongly recommends that all AHS Capstone students first complete the AHS Capstone Preparatory Seminar. Please contact the AHS Committee at ahs@olin.edu with any questions.",4-0-8,Arts Humanities Social Sciences Capstone Project,http://www.olin.edu/course-listing/ahse4190-arts-humanities-social-sciences-capstone-project/,AHSE
AHSE4199,Staff,Variable Credits AHSE,"Special Topics in Arts, Humanities and Social Science classes (AHSE X199) typically cover a specific topic in Arts, Humanities and Social Science and are intended to enhance and expand the selection of offerings from semester to semester.",,"Special Topics in Arts, Humanities and Social Sciences",http://www.olin.edu/course-listing/ahse4199-special-topics-arts-humanities-and-social-sciences/,AHSE
AHSE4590,"Neeley, Lawrence",4 AHSE,"The Entrepreneurship Capstone is an advanced, intensive experience designed to complete a student's undergraduate study of entrepreneurship. The Entrepreneurship Capstone is designed as a seminar that enables students to interact with an experienced entrepreneur in order to accomplish three objectives. First, students will spend the majority of the semester focused on an individual project, the goal of which is expertise in a particular entrepreneurial or business topic. These projects are defined by each student in collaboration with the instructor, and are expected to include a substantial educational component that builds knowledge and expertise throughout the course of the semester. Second, students will undertake one or two assigned projects to strengthen their understanding of entrepreneurship. For example, this may involve an assigned paper/presentation and a community outreach project. Third, students will have the chance to fill knowledge gaps regarding the theory and practice of entrepreneurship. Please contact the instructor with any questions about the course or prerequisites.",2-0-10,Entrepreneurship Capstone,http://www.olin.edu/course-listing/ahse4590-entrepreneurship-capstone/,AHSE
CIE2016A,"Somerville, Mark",8 ENGR,"For first year students only. This is the first class of a two class, 8 credit each sequence. This 2 class, 16 credit sequence is a designated alternative for the following courses: Linearity 1 and Linearity 2, the Physics Foundation course, Signals and Systems, and Dynamics. You must commit to enrolling in both classes, although you will only register for the Spring 2017 class at this time.
The application of quantitative analysis of mathematical models and/or data can enable, improve, and speed up the engineering design process. Using quantitative analysis to answer engineering questions, you'll be able to make the choices necessary to successfully complete an engineering design. Whether you are selecting the best part from a catalog, choosing an appropriate material, sizing a component, determining the effect of certain influences on your design, or optimizing your design within a parameter space, you often need to obtain (through experiment or calculation) and interpret quantitative information to inform your decisions. There are many different approaches to getting and interpreting the data you need: you may conduct an experiment, do a rough estimation, perform a detailed calculation based on mathematical models, or create a computer simulation. If you want to engineer effectively, you must be able to choose and use appropriate quantitative tools for a given situation.
In this class, you will be introduced to various approaches to perform quantitative engineering analysis through real-world examples.  You will learn how to select between different tools and different approaches within the context of an engineering challenge, how to use many different tools for quantitative analysis, and how to acquire new tools on your own in the future.",,Curriculum Innov Experiment: Quantitative Engineering Analysis I,http://www.olin.edu/course-listing/cie2016a-curriculum-innov-experiment-quantitative-engineering-analysis-i/,CIE
CIE2016B,"Govindasamy, Siddhartan",8 ENGR,"This is the second class of a two class, 8 credit each sequence. This two-class, 16-credit sequence is a designated alternative for the following courses: Linearity 1 and Linearity 2, the Physics Foundation course, Signals and Systems, and Dynamics. Open only to students who took CIE 2016A in Spring 2016.
The application of quantitative analysis of mathematical models and/or data can enable, improve, and speed up the engineering design process. Using quantitative analysis to answer engineering questions, you'll be able to make the choices necessary to successfully complete an engineering design. Whether you are selecting the best part from a catalog, choosing an appropriate material, sizing a component, determining the effect of certain influences on your design, or optimizing your design within a parameter space, you often need to obtain (through experiment or calculation) and interpret quantitative information to inform your decisions. There are many different approaches to getting and interpreting the data you need: you may conduct an experiment, do a rough estimation, perform a detailed calculation based on mathematical models, or create a computer simulation. If you want to engineer effectively, you must be able to choose and use appropriate quantitative tools for a given situation.
In this class, you will be introduced to various approaches to perform quantitative engineering analysis through real-world examples.  You will learn how to select between different tools and different approaches within the context of an engineering challenge, how to use many different tools for quantitative analysis, and how to acquire new tools on your own in the future.",,Curriculum Innov Experiment: Quantitative Engineering Analysis II,http://www.olin.edu/course-listing/cie2016b-curriculum-innov-experiment-quantitative-engineering-analysis-ii/,CIE
ENGR1125,"Hill, Benjamin Thomas",4 ENGR,"Conducting experiments and making measurements is an essential aspect of all branches of science and engineering. Nearly all of our current quantitative understanding of the natural and engineered world has come from the interplay between theory and measurements. Models and simulations of systems require experimental validation and performance of engineered systems must not only be predicted, but also measured and tested. In this course we will learn the basic tools of making physical measurements and conducting experiments. We will collect data, analyze data, conduct basic error analysis, and design experimental systems. Using inexpensive modern sensors, we will build the necessary supporting electronics and learn to collect data with computer based data acquisition systems. The first part of the course will focus on individual work and students will conduct labs on basic electrical, mechanical and environmental measurements. The later part of the course will involve a team project that involves designing and executing an experiment that involves measurement, data acquisition and data analysis.",,"Introduction to Sensors, Instrumentation and Measurement",http://www.olin.edu/course-listing/engr1125-introduction-sensors-instrumentation-and-measurement/,ENGR
ENGR1199,Staff,Variable Credits ENGR,"Special Topics in Engineering classes (ENGR X199) typically cover a specific topic in Engineering and are intended to enhance and expand the selection of offerings from semester to semester.



Additional Information

SP15:  Introduction to the Microelectronics, Nanotechnology and MEMS Revolution; 4 credits (S. Kerns, D. Kerns)
This course will develop your understanding and appreciation of the scientific and engineering underpinnings of microelectronics. nanotechnologies, and MEMS.  We will examine how these technological revolutions influence a broad array of interdisciplinary fields (engineering, biology, biomedical engineering, material science, chemistry, physics, medicine, technology, management) and civilization as a whole (art, business, film, entertainment, politics). Special ""widget deconstruction"" topics will address common pieces of modern technology to answer the question, ""How do they do what they do?""; ""How do microelectronics & nanotechnology play in that functionality?""; and ""Where is the technology going and how will it change the way we live our lives?"" Student-­‐led discussions will examine the transformational impact of the microelectronics, nanotechnology and MEMS revolution on modern society. You will complete and deliver a final project that enhances/expands understandings of your favorite topics. No special knowledge of electrical and computer engineering is assumed. The class will be highly interactive and student participation is key.
 
SP15:  1199A:  Linear Systems Laboratory; 2 credits (Storey)
This course will provide a hands-­on experimental lab experience for students co-­registered in Linearity I. The course will bring the mathematical concepts of Linearity to life through a number of physical experiments with mechanical, electrical, thermal, and chemical systems. The course will emphasize interpreting physical data through the lens of mathematical analysis.",,Special Topics in Engineering,http://www.olin.edu/course-listing/engr1199-special-topics-engineering/,ENGR
ENGR1200,"Hoover, Aaron",4 ENGR,"We take nature, an important source of inspiration and understanding, as a theme and develop bioinspired ideas into functional prototypes. Our focus is on the general principles and methods that shape the practice of engineering design. Students complete individual and team projects in a studio environment where we seek to develop a shared practice and understanding of engineering design. Students also gain experience in visualization, experimentation, estimation, fabrication, and presentation as they relate to designing.",6-0-6,Design Nature,http://www.olin.edu/course-listing/engr1200-design-nature/,ENGR
ENGR1330,"Andruskiewicz, Bruce",4 ENGR,"This course covers the fundamentals of machine tool operations, classical machining techniques, and CAD methods. Students will learn principles of technical drawing, fabrication and assembly of mechanical systems, how to interpret and establish appropriate design requirements to make parts to specification and how to inspect parts to ensure that they meet specification. Students will come away with a sound understanding of drawing interpretation and creation, machine shop safety, bench work, measurement, part layout, and machine setup, operation and maintenance.
Assigned projects will involve significant machining time to fabricate mechanical components and a working mechanical system (e.g., tesla turbine).",4-4-4,Fundamentals of Machine Shop Operations,http://www.olin.edu/course-listing/engr1330-fundamentals-machine-shop-operations/,ENGR
ENGR2110,"Bennett, Andrew",4 ENGR,"Through a significant project experience, students will learn to integrate analysis, qualitative design, quantitative optimization, experiments, and simulations to improve their ability to engineer real systems. In each section of the course, students will work in small multidisciplinary teams to design and to build a mechatronic system of their own choosing. Each project must include both a nontrivial mechanical system design and a nontrivial electronic system design involving both hardware and software components. Projects will be subject to realistic materials, process, and budgetary constraints.",4-4-4,Principles of Engineering,http://www.olin.edu/course-listing/engr2110-principles-engineering/,ENGR
ENGR2125,"Dabby, Diana; Lee, Christopher",4 ENGR,"The Engineer's Orchestra provides an introduction to acoustics, waves, and vibrations via musical instruments. Students address the physics of orchestral instruments (winds, strings, and percussion) both qualitatively and quantitatively. Topics include one-dimensional transverse and longitudinal waves, traveling and standing wave solutions to the wave equation, and an introduction to spherical waves with relevant hands-on demonstrations. Modeling and analysis concepts will be introduced to support students in the design and construction of their own physical or virtual musical instruments.",4-2-6,"The Engineer's Orchestra I: Acoustics, Waves and Vibrations",http://www.olin.edu/course-listing/engr2125-the-engineers-orchestra-i-acoustics-waves-and-vibrations/,ENGR
ENGR2134,"Mur-Miranda, Jose Oscar",2 ENGR,"Students perform qualitative and quantitative analyses at the regional level to gain insight into development challenges and propose new ways of thinking, with an emphasis on the role of technology. For example, a student might study maternal health in Sub-Saharan Africa. Students select topics and regions based on interest and levels of unmet need, as well as other considerations such as cultural, climatic, technological, economic, political, and ecological ones. 
Students will gain experience with analysis and modeling tools and data sets relevant to development with an emphasis on probability and statistics, GIS, and dynamic systems modeling. Guest speakers will share their experiences practicing data driven development. Students will create formal briefings with recommendations supported by a synthesis of quantitative data, analysis, and visualization and informed by the published literature. Students may have an opportunity to publish their work.
This course provides valuable preparation for students planning to enroll in ENGR 3290/4290 Affordable Design and Entrepreneurship (ADE) or perform research or work in international development. Wellesley and Babson students are encouraged to enroll.",,Regional Analysis in Development,http://www.olin.edu/course-listing/engr2134-regional-analysis-development/,ENGR
ENGR2141,"Lynch, Caitrin; Ben-Ur, Ela",2 ENGR,"This course introduces students to engineering problem solving, beginning with understanding client needs and ending with implemented, adaptable, adoptable, and sustainable solutions.  This course will draw equally on empathetic and ethnographic methods and on a technical understanding of the problem and solution domains. Over the semester, we will learn about and with our clients; we will identify specific challenges that our clients face; and together with our clients we will develop concrete solutions to address these challenges.  Students will leave Engineering for Humanity with a grounded understanding of the engineering problem solving process, experience in participant-observer fieldwork, and hopefully a feeling of satisfaction at having made a concrete difference in the lives of members of our community.  
The projects will be specific service projects that students identify and design while working with senior citizens in surrounding communities. For example, students might design a device to help someone who has difficulty reaching up to change a light bulb, something to help hold a newspaper steady with shaky hands, or something to enable someone to get clothes out of a clothing dryer that is difficult to stoop down to reach. Some sessions of the course will be devoted to co-design with the client population or to team meetings. Other sessions involving guest speakers and fieldtrips, others with course discussion of topics relevant to aging. Students must simultaneously enroll in AHSE2141 and ENGR2141 for a total of 4 credit hours.",6-0-6,Engineering for Humanity,http://www.olin.edu/course-listing/engr2141-engineering-humanity/,ENGR
ENGR2199,Staff,Variable Credits ENGR,"Special Topics in Engineering classes (ENGR X199) typically cover a specific topic in Engineering and are intended to enhance and expand the selection of offerings from semester to semester.



Additional Information

SP16:  Designing Resources for Empowerment and Making (DREAM); 4 credits (Millner)
The DREAM course will engage students in designing multiple types of resources for making, those related to: space, tools, and activities. Students enrolled in the course will leave empowered to passionately pursue making in contexts that enable others to make in ways that they may not have otherwise been able to. The course will entail rethinking the ways in which spaces are designed to facilitate young people creating physical objects; extending toolkits that afford hands­on exploration of making in technical domains such as programming and electronics design; and developing activities that take advantage of what new tools and spaces for making have to offer. The ideal offering being experiences that compel pre­college learners to feel empowered to extend their own (and their peers') engagement in science, technology, engineering, art, and math (STEAM) endeavors.
This project­based course is running for the second time in the Spring of 2016, following a successful first offering the Spring of 2015. The early weeks will expose students to principles and practices for transforming living rooms, community centers and cities into areas conducive to making, and situate the ways in which doing so can empower groups to redefine their relationship with information and individuals around them. The following weeks entail exploring existing tools for making interactive systems (e.g., microcontroller­powered development boards with sensing and actuation modules geared toward integrating with clothing or outdoor environments). Students will have opportunities to extend the kits based on an open­hardware design ethos, which could entail adding a ""bit"" to the library of littleBits (littlebits.cc). Students will then grapple with experience design to envision what should become possible at the intersection of new spaces and new tools. A field trip to a maker space will highlight innovative empowerment in practice. After prototyping experiences, students will contribute their curricular resources to appropriate online outlets (such as instructables.com).  See https://sites.google.com/site/olindream2015/.
 
FA15:  ENGR2199B:  Regional Analysis for Development; 2 credits (Mur-Miranda)
This course is taken in conjunction with MTH2188: Designated Alternative in Mathematics: Regional Analysis for Development; 2 credits (Mur-Miranda) and may be used to satisfy the Probability and Statistics requirement.
Students perform qualitative and quantitative analyses at the regional level to gain insight into development challenges and propose new ways of thinking, with an emphasis on the role of technology. For example, a student might study maternal health in Sub-Saharan Africa. Students select topics and regions based on interest and levels of unmet need, as well as other considerations such as cultural, climatic, technological, economic, political, and ecological ones. 
Students will gain experience with analysis and modeling tools and data sets relevant to development with an emphasis on probability and statistics, GIS, and dynamic systems modeling. Guest speakers will share their experiences practicing data driven development. Students will create formal briefings with recommendations supported by a synthesis of quantitative data, analysis, and visualization and informed by the published literature. Students may have an opportunity to publish their work.
This course provides valuable preparation for students planning to enroll in ENGR 3290/4290 Affordable Design and Entrepreneurship (ADE) or perform research or work in international development. Wellesley and Babson students are encouraged to enroll.
 
SP15:  Applications of Microfluidics; 4 credits (Irimia, Storey)
Microfluidics systems can manipulate small volumes of fluids using small networks of channels, each of which are 10 to 100 microns in size. These devices offer the promise of integrating many laboratory processes onto a single chip, thereby increasing throughput and decreasing cost. Microfluidic technologies are proving to be a critical tool for research in drug development, genomics, proteomics, molecular diagnostics, and analytical chemistry. Further development of microfluidics is one key to future applications such as personalized medicine, integrated sensors for chemical and biological detection, inexpensive medical diagnostics, and massively parallel drug discovery. Just as microelectronics revolutionized computation by increasing capacity and decreasing the cost of performing calculations, microfluidics has the potential to do the same in biology and chemistry. In this course, we will cover some of the basic physics, chemistry, fluid mechanics, engineering and mathematics relevant to microfluidics. We will study existing microfluidics designs and functions. The course will be project based with students designing and building functional microfluidic devices relevant to global health projects.
 
SP15:  2199A:  Data Science; 2 credits (Downey)
This course must be taken concurrently with MTH2188A (2 credits)
This course may be used to satisfy the Probability and Statistics requirement.
Data Science lies at the intersection of statistics, machine learning, database design, and data visualization. The goal of this class is to prepare students to work on data science projects that involve collecting data or finding data sources, exploratory data analysis and interactive visualization, statistical analysis and machine learning, predictive analytics, model selection, and validation. Class work includes a substantial project on a real world application of the students’ choice; projects might involve work with a social change organization like those on DataKind, or participating in a competition like those on Kaggle.
 
FA14:  2199B:  Regional Analysis for Development; 2 credits (Mur-Miranda)
Students perform qualitative and quantitative analyses at the regional level to gain insight into development challenges and propose new ways of thinking, with an emphasis on the role of technology. For example, a student might study maternal health in Sub-Saharan Africa. Students select topics and regions based on interest and levels of unmet need, as well as other considerations such as cultural, climatic, technological, economic, political, and ecological ones. 
Students will gain experience with analysis and modeling tools and data sets relevant to development with an emphasis on probability and statistics, GIS, and dynamic systems modeling. Guest speakers will share their experiences practicing data driven development. Students will create formal briefings with recommendations supported by a synthesis of quantitative data, analysis, and visualization and informed by the published literature. Students may have an opportunity to publish their work.
This course provides valuable preparation for students planning to enroll in ENGR 3290/4290 Affordable Design and Entrepreneurship (ADE) or perform research or work in international development. Wellesley and Babson students are encouraged to enroll.  This course is taken in conjunction with MTH2188: Designated Alternative in Mathematics: Regional Analysis for Development; 2 credits (Mur-Miranda).",,Special Topics in Engineering,http://www.olin.edu/course-listing/engr2199-special-topics-engineering/,ENGR
ENGR2250,"Hendren, Sara",4 ENGR,"Students develop detailed concepts and models of authentic new products and services. Our focus is on user-oriented, collaborative approaches to design and seeking holistic solutions integrating user and functional perspectives. We emphasize the importance of process and the development of strategies. Students observe and engage people to develop a deep understanding of their values and the patterns of their lives. They work collaboratively in a studio environment to create a shared understanding of the people they design for (and with) and the product ideas they develop. Topics covered include design thinking, ethnographic methods, concept development and interaction design.",4-4-4,User-Oriented Collaborative Design,http://www.olin.edu/course-listing/engr2250-user-oriented-collaborative-design/,ENGR
ENGR2299,"Hendren, Sara",Variable Credits ENGR,"Special Topics in Design Engineering classes (ENGR X299) typically cover a specific topic in Design Engineering and are intended to enhance and expand the selection of offerings from semester to semester.



Additional Information

FA16:  Critical Designer, Activist Engineer:  Making Things and Making Things Happen; 4 credits (Hendren)
What happens when design and engineering research results in activism, human rights work, politics, or matters of equity and justice? Engineers and designers are often thought of as ""problem-solvers"" in mostly technical, practical, and formal senses. But this class explores the equally compelling history of engineering and design projects that raise difficult questions, aid marginalized communities, address urgent social issues, or create new conditions. We'll talk to designers, artists, and engineers who work on issues of sustainability, power, health, education, and more. And we'll run our own experiments in creative design work for the public good. The class includes significant reading, field trips and lectures, short experiments, and a culminating project.",,Special Topics in Design Engineering,http://www.olin.edu/course-listing/engr2299-special-topics-design-engineering/,ENGR
ENGR2320,"Lee, Christopher",4 ENGR,"This course covers the principles of statics of structures and mechanics of materials. The focus is on the concepts of stress and strain as related to applied loads (axial, shear, torsion, bending) and to resulting deformation. Students will learn how the principles of mechanics can be applied to mechanical design through modeling, quantitative analysis, strain gauge measurements, and computational simulation. The use of a commercial finite element package is introduced.",4-0-8,Mechanics of Solids & Structures,http://www.olin.edu/course-listing/engr2320-mechanics-solids-structures/,ENGR
ENGR2330,"Hoover, Aaron",4 ENGR,"Through project experiences, students will learn the techniques needed to both master the technical communication of mechanical designs and the fabrication skills needed to rapidly build them. Students will practice professional drafting techniques to describe a full range of fabricated components, including milled, lathed, sheet metal, water jet, injection molded, 3D printed and welded components. This course will include a significant machine shop component, where each student will gain exposure to advanced fabrication techniques. The final project will be the design and fabrication of a fully operational, complex mechanical system.",,Introduction to Mechanical Prototyping,http://www.olin.edu/course-listing/engr2330-introduction-mechanical-prototyping/,ENGR
ENGR2340,"Mahajan, Sanjoy",4 ENGR,"With an emphasis on understanding fundamental concepts, students will learn to create and analyze mathematical models for mechanical and electromechanical systems that are changing in time. Equations of motion for 3D rigid bodies and systems will be derived using conservation of momentum and energy methods. Concepts involving equilibrium, linearization, and stability will be applied to study dynamic response in both the time and frequency domains through time-integration, transfer function, and state-space analysis. The idea of feedback control is introduced. Coursework and projects will involve examples such as robots, mechanisms, vehicles, and aircraft/spacecraft.",4-0-8,Dynamics,http://www.olin.edu/course-listing/engr2340-dynamics/,ENGR
ENGR2350,"Townsend, Jessica",4 ENGR,"This course covers the fundamental principles of thermodynamics and physical chemistry as applied to engineering systems. This course provides a foundation in fundamental thermodynamic phenomena, including the first and second laws of thermodynamics, thermodynamic properties, equations of state in real and ideal gases, and chemical equilibrium. The basic laws are used to understand and analyze the performance and efficiency of systems, such as automobile engines, gas turbines, steam power plants, and refrigerators.",4-0-8,Thermodynamics,http://www.olin.edu/course-listing/engr2350-thermodynamics/,ENGR
ENGR2410,"Mur-Miranda, Jose Oscar",4 ENGR,"Linear system theory is a powerful set of mathematical tools used broadly across science and engineering. Signals represent the transfer of information or power, while systems represent operations on these signals. This course presents fundamental concepts from linear systems such as convolution, impulse and step response, Fourier transforms, sampling and modulation. These concepts are presented within the framework of linear operators and/or transforms in discrete and/or continuous time. Applications include filters, system identification, deconvolution, feedback and control, and communications.",4-0-8,Signals and Systems,http://www.olin.edu/course-listing/engr2410-signals-and-systems/,ENGR
ENGR2420,"Minch, Bradley",4 ENGR,"This course will cover elements of linear circuits, such as the operation of basic circuit elements, fundamental circuit laws, and analytic techniques in both the time domain and the frequency domain.  It will also cover the transistor-level design of complementary metal-oxide-semiconductor (CMOS) electronic circuits in the context of modern integrated-circuit technology. The course will include an introduction to the fabrication and operation of metal-oxide-semiconductor (MOS) transistors and to the design and operation of the basic building blocks of analog integrated circuits including single-transistor amplifier stages, current mirrors, CAS codes, differential pairs, and single-stage operational amplifiers. Throughout the course, an emphasis will be placed on design-oriented circuit analysis techniques and developing circuit reasoning skills.",4-4-4,Intro Microelectronic Circuits with laboratory,http://www.olin.edu/course-listing/engr2420-intro-microelectronic-circuits-laboratory/,ENGR
ENGR2510,"Steele, Oliver",4 ENGR,"This course is an introduction to software design. It focuses on a model of computation as a set of simultaneous ongoing entities embedded in and interacting with a dynamic environment, for example: computation as it occurs in spreadsheets, video games, web applications, and robots. A major component of the class is a weekly three-hour, in class laboratory. Much of this laboratory is spent in collaborative work on program development, with an emphasis on student-student  interaction and student-student teaching, facilitated and enriched by the course staff. In addition, design and implementation work is supplemented with observational laboratory assignments, inviting students to consider not only how to build a program, but how to anticipate its behavior and how to modify that behavior. Both students with no prior background and students with background comparable to the CS AP should both find this course interesting and worthwhile.",5-0-7,Software Design,http://www.olin.edu/course-listing/engr2510-software-design/,ENGR
ENGR2599,Staff,Variable Credits ENGR,Special Topics in Computing classes (ENGR X599) typically cover a specific topic in Computing and are intended to enhance and expand the selection of offerings from semester to semester.,,Special Topics in Computing,http://www.olin.edu/course-listing/engr2599-special-topics-computing/,ENGR
ENGR2620,"Zastavker, Yevgeniya",4 ENGR,"Why is a giraffe's head so small in comparison to the rest of its body? Why do babies' heads flatten when they sleep in the same position? Why do knees bend only in one direction? Why are people taller in the morning? In this course, we will study the nature and function of human body and its movement with specific emphasis on movements produced in sport, dance, and every day physical activities. The principles of Newtonian mechanics, statics, and dynamics will be applied to discuss behavior of bones, tendons, ligaments, and muscles during human movement. This course is cross-listed as SCI 2220.",4-0-8,Biomechanics,http://www.olin.edu/course-listing/engr2620-biomechanics/,ENGR
ENGR2699,Staff,Variable Credits ENGR,Special Topics in Bioengineering classes (ENGR X699) typically cover a specific topic in Bioengineering and are intended to enhance and expand the selection of offerings from semester to semester.,,Special Topics in Bioengineering,http://www.olin.edu/course-listing/engr2699-special-topics-bioengineering/,ENGR
ENGR3110,"Hoover, Aaron",4 ENGR,"Note: This course can be used to satisfy either the ME and ECE advanced elective requirements.
Mechatronics involves the synergistic integration of mechanical engineering with electronics and intelligent computer control in the design of products. In this course, we will develop topics critical to the engineering of modern mechatronic systems including electromechanical actuators (e.g., DC motors, stepper motors, and solenoids), practical electronics design including interfacing sensors and actuators to embedded processors, and embedded software design in the C programming language. During the first part of the course, students will work in small groups on a series of miniprojects to gain experience with course concepts and develop core engineering competencies. During the second part of the course, students will work in teams to engineer a mechatronic system of their choosing subject to realistic constraints.",,Elecanisms,http://www.olin.edu/course-listing/engr3110-elecanisms/,ENGR
ENGR3140,"Adams, Sarah Spence",2 ENGR,"Error-control codes are used to detect and correct errors that occur when data are transmitted across a noisy channel. This course provides an introduction to error-control codes, including linear, cyclic, binary, and non-binary codes. Mathematics such as modular arithmetic and introductory ring and field theory will be introduced and used extensively. Students must simultaneously enroll in MTH 3140 and ENGR 3140 for a total of 4 credit hours.",4-0-8,Error Control Codes,http://www.olin.edu/course-listing/engr3140-error-control-codes/,ENGR
ENGR3199,Staff,Variable Credits ENGR,"Special Topics in Engineering classes (ENGR X199) typically cover a specific topic in Engineering and are intended to enhance and expand the selection of offerings from semester to semester.



Additional Information

SP15:  Designing Resources for Empowerment and Making (DREAM); 4 credits (Millner)
The DREAM course will engage students in designing multiple types of resources for making, those related to: space, tools, and activities. Students enrolled in the course will leave empowered to passionately pursue making in contexts that enable others to make in ways that they may not have otherwise been able to. The course will entail rethinking the ways in which spaces are designed to facilitate young people creating physical objects; extending toolkits that afford hands-on exploration of making in technical domains such as programming and electronics design; and developing activities that take advantage of what new tools and spaces for making have to offer. The ideal offering being experiences that compel pre-college learners to feel empowered to extend their own (and their peers') engagement in science, technology, engineering, art, and math (STEAM) endeavors.
This project-based course is running for the first time at Olin College in the Spring of 2015. The early weeks will expose students to principles and practices for transforming living rooms, community centers and cities into areas conducive to making, and situate the ways in which doing so can empower groups to redefine their relationship with information and individuals around them. The following weeks entail exploring existing tools for making interactive systems (e.g., microcontroller-powered development boards with sensing and actuation modules geared toward integrating with clothing or outdoor environments). Students will have opportunities to extend the kits based on an open-hardware design ethos, which could entail adding a ""bit"" to the library of LittleBits (littlebits.cc). Students will then grapple with experience design to envision what should become possible at the intersection of new spaces and new tools. After prototyping experiences, students will contribute their curricular resources to appropriate online outlets (such as instructables.com).
 
SP15:  ENGR3199A:  Elecanisms; 4 credits (Minch, Hoover)
This course can be used to satisfy either the ME and ECE advanced elective requirements.
Mechatronics involves the synergistic integration of mechanical engineering with electronics and intelligent computer control in the design of products. In this course, we will develop topics critical to the engineering of modern mechatronic systems including electromechanical actuators (e.g., DC motors, stepper motors, and solenoids), practical electronics design including interfacing sensors and actuators to embedded processors, and embedded software design in the C programming language. During the first part of the course, students will work in small groups on a series of miniprojects to gain experience with course concepts and develop core engineering competencies. During the second part of the course, students will work in teams to engineer a mechatronic system of their choosing subject to realistic constraints.",,Special Topics in Engineering,http://www.olin.edu/course-listing/engr3199-special-topics-engineering/,ENGR
ENGR3210,"Linder, Benjamin",4 ENGR,"This course provides a comprehensive overview of sustainable product design. Emphasis is placed on learning and using green design principles, methods, tools and materials. Examples include life cycle assessment, eco-efficiency and eco-effectiveness. A system perspective highlighting material and energy flows over the complete product life cycle is used to structure course material. Students complete substantial reading, investigate existing products and develop their own product ideas.",4-0-8,Sustainable Design,http://www.olin.edu/course-listing/engr3210-sustainable-design/,ENGR
ENGR3220,"Millner, Amon",4 ENGR,"A hands-on exploration of the design and development of user interfaces, taking into account the realities of human perception and behavior, the needs of users, and the pragmatics of computational infrastructure  and application. Focuses on understanding and applying the lessons of human interaction to the design of usable computer applications; will also look at lessons to be learned from less usable systems. This course will mix studio (open project working time) and seminar (readings and discussion) formats.",4-4-4,Human Factors and Interface Design,http://www.olin.edu/course-listing/engr3220-human-factors-and-interface-design/,ENGR
ENGR3230,"Hendren, Sara",4 ENGR,"Assistive technologies usually refer to prosthetics and medical aids: tools, devices, and other gear that either restore or augment the functioning of body parts. Historically, these have been designed for people with diagnosable disabilities. In this course, we look at medical as well as cultural tools that investigate the 'normal' body and mind, and we design our own devices high-tech, low-tech, digital or analog with these ideas in mind. Through readings, site visits, guest speakers, and projects, we investigate both traditional and unusual prosthetics and assistive technologies, broadly defined. We talk to end-users, to engineers and industrial designers, to artists, and to others whose technologies assist with visible and invisible needs, externalize hidden dynamics, and create capacities far beyond or outside ordinary functionality. The course is organized to facilitate both functional projects in design-engineering and projects that are much more speculative and experimental.",,Investigating Normal: Adaptive and Assistive Technologies,http://www.olin.edu/course-listing/engr3230-investigating-normal-adaptive-and-assistive-technologies/,ENGR
ENGR3250,"Neeley, Lawrence",4 ENGR,"You will work with industrial design students from the Massachusetts College of Art and Design (in Boston) and business students from Babson College to develop new products through a project sponsored by a company. Projects have an Internet of Things (IOT) theme that is informed by contexts chosen by students, such as food, recreation, health, and education. Students learn first hand about the techniques and contributions different disciplines bring to product design and practice cross-functional collaboration common in professional design settings. Multiple guest speakers from local product design companies provide first-hand insight into this practice. This course provides valuable preparation for students interested to work in design firms, such as Continuum, IDEO, Frog, Altitude and Essential to name a few, or develop and launch their own consumer products. Class will be held once a week and rotate among all three campuses. Babson students should enroll in MOB 3578. Wellesley students should cross-register into this course and not MOB 3578 at Babson.",4-0-8,Integrated Product Design,http://www.olin.edu/course-listing/engr3250-integrated-product-design/,ENGR
